username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Annie Abrams,4113953859,NYC,2023-01-25 05:03:37,"@jesushjones1 @AdinaYoffie Seems like there’s some agreement on that point, @biblioracle https://t.co/TJvJgw4MIi",0,Twitter Web App,
maddy,2772290411,"New York, NY",2023-01-25 05:01:51,can’t believe I was snubbed from the Oscars again this year :/ I did a phenomenal performance of depressed college… https://t.co/cSgc9xMuO1,0,Twitter for iPhone,
Amymechii-Is starting a New Year ✨-BLM,1553117124,New York,2023-01-25 04:58:32,"A cover letter is like writing 50 essays about yourself. 

Despite all my tweets as you see I don’t talk about myse… https://t.co/IUhJPltL7G",0,Twitter for iPhone,
laura case ☘️🦻,3325401581,"New York, USA",2023-01-25 04:57:14,@livingifitsnot Sagan Hawkes and Wendigoon videos literally keep me sane lol especially when doing college work.,0,Twitter for iPhone,
Jon Rothstein,85605195,NYC,2023-01-25 04:53:47,"Coming up AT THE HALF on @CBSSportsNet, me, Brent Stover, @CWalkerSports, and @Gillenhoops bring you the latest in… https://t.co/eGVL6L7Uxy",0,TweetDeck,
turboooo,1386057173835427840,"Paterson, NJ",2023-01-25 04:52:54,🔥 but when Colin Secton scored 40+ in a 3v5 in college was the most insane shit i ever seen https://t.co/XhOWFF9J4S,0,Twitter for iPhone,
jack mcclelland (nyc) 🕺,1278552753170595845,new york city,2023-01-25 04:51:20,@NickPinkston you wouldn't argue that he struck gold early on? by making a social network for college kids?,0,Twitter Web App,
The Hurricane,1363206021926318085,"Brooklyn, NY",2023-01-25 04:43:30,@ESPNNBA That’s a very legit choice. Kareem was the greatest in HS the greatest in college&amp; probably the greatest i… https://t.co/4YrKiojBVI,0,Twitter for iPhone,
CarsRoundTown,509044204,Mosty Los Angeles,2023-01-25 04:40:14,@bentrose2023 @HighyieldHarry In college? So you would’ve gone through the fall process. Most MM firms haven’t stop… https://t.co/UhiWjwTglE,0,Twitter for iPhone,
Victor,1481302987708547072,"Bronx, NY",2023-01-25 04:39:45,Got my haircut from yesterday for my first day in Borough of Manhattan Community College. It's gonna be insane tomo… https://t.co/kCZxpAQh3T,0,Instagram,
ProPublica,14606079,"New York, NY",2023-01-25 04:33:46,"As fewer faculty members are protected by tenure, they’re finding it harder to resist laws that ban certain racial… https://t.co/phkhAWYJ1O",24,SocialFlow,
"New Year, New Justin! 🍾",155933135,"Manhattan, NY",2023-01-25 04:32:20,"I don’t think I’ve ever rooted for someone as hard as I’m rooting for her! 

I’ve cried watching all of her videos… https://t.co/jTdojYbLfD",0,Twitter for iPhone,
P R 1 ⭐️,2847569386,NYC,2023-01-25 04:31:05,"Woudlve been down 3U if KSU didn’t cover on week 

L on the ml but I’ll take it +.54U on it 

1-2 -.46U today 

Wil… https://t.co/l9VLkzoeNY",0,Twitter for iPhone,
Annie Abrams,4113953859,NYC,2023-01-25 04:29:51,@stinkingflower @CapriciousNest I think it’s interesting that College Board CEO David Coleman was a chief architect… https://t.co/wsRC3OBnID,0,Twitter Web App,
Kyle,790282124280692736,"New York, NY",2023-01-25 04:24:04,@LegionHoops All college recruiters must have access to all players.,0,Twitter for iPhone,
